,Date,Primogem Used,Total Users
441,2023-12-14,151790.44519519684,202021
442,2023-12-15,149457.45084061168,202021
443,2023-12-16,197663.6818795241,202021
444,2023-12-17,156552.00825292684,202021
445,2023-12-18,142954.71920206997,202021
446,2023-12-19,65160.87541096854,202021
447,2023-12-20,28668.628631422765,202021
448,2023-12-21,1916124.381027733,279224
449,2023-12-22,1202329.2357883183,279224
450,2023-12-23,1021709.915235209,279224
451,2023-12-24,780092.674934635,279224
452,2023-12-25,782463.302325864,279224
453,2023-12-26,620119.1559543348,279224
454,2023-12-27,656088.281363857,279224
455,2023-12-28,559424.2344023725,279224
456,2023-12-29,525063.4767727515,279224
457,2023-12-30,466049.3376637667,279224
458,2023-12-31,575136.3106408633,279224
459,2024-01-01,1223994.5595912777,279224
460,2024-01-02,697528.5251336833,279224
461,2024-01-03,570858.1285722869,279224
462,2024-01-04,494615.0165982695,279224
463,2024-01-05,473660.4998828731,279224
464,2024-01-06,450405.86479029554,279224
465,2024-01-07,466384.7318927509,279224
466,2024-01-08,390471.2972006327,279224
467,2024-01-09,237670.64116292525,279224
468,2024-01-10,3180584.56371361,281280
469,2024-01-11,1198615.7220274748,281280
470,2024-01-12,931770.9557426885,281280
471,2024-01-13,863652.1158464309,281280
472,2024-01-14,783928.5334615114,281280
473,2024-01-15,630142.4250755974,281280
474,2024-01-16,724488.2876270676,281280
475,2024-01-17,543782.9676289828,281280
476,2024-01-18,551447.8179616573,281280
477,2024-01-19,830662.2886141887,281280
478,2024-01-20,601957.3030971556,281280
479,2024-01-21,525417.112956829,281280
480,2024-01-22,421676.7738770575,281280
481,2024-01-23,383944.859951913,281280
482,2024-01-24,371661.4676545953,281280
483,2024-01-25,371136.8256578788,281280
484,2024-01-26,411249.93729070114,281280
485,2024-01-27,391743.40937407344,281280
486,2024-01-28,379617.4096757707,281280
487,2024-01-29,339077.8148714239,281280
488,2024-01-30,171310.84346978355,281280
489,2024-01-31,61171.564423608295,281280
490,2024-02-01,3295919.0935942456,308434
491,2024-02-02,1826583.3277558568,308434
492,2024-02-03,1566166.5937946162,308434
493,2024-02-04,1135194.3903324534,308434
494,2024-02-05,1324389.758567034,308434
495,2024-02-06,957670.9416874065,308434
496,2024-02-07,1280118.2166788385,308434
497,2024-02-08,958884.5551536185,308434
498,2024-02-09,1747316.6236722465,308434
499,2024-02-10,1001118.6206481477,308434
500,2024-02-11,801458.608883111,308434
501,2024-02-12,634997.1043909246,308434
502,2024-02-13,569705.9673901536,308434
503,2024-02-14,515524.30509575014,308434
504,2024-02-15,546108.6319257158,308434
505,2024-02-16,765657.0116298612,308434
506,2024-02-17,662598.0968124347,308434
507,2024-02-18,618938.1147126957,308434
508,2024-02-19,613739.8565108143,308434
509,2024-02-20,365752.36229165207,308434
510,2024-02-21,851216.9131329975,184031
511,2024-02-22,355081.15591789223,184031
512,2024-02-23,369388.0809097437,184031
513,2024-02-24,388508.6623900409,184031
514,2024-02-25,364214.76053699444,184031
515,2024-02-26,320607.83711795334,184031
516,2024-02-27,278870.9004626895,184031
517,2024-02-28,289266.646609366,184031
518,2024-02-29,297006.71957341774,184031
519,2024-03-01,834821.017831575,184031
520,2024-03-02,378553.5376809613,184031
521,2024-03-03,261952.09899737206,184031
522,2024-03-04,217390.9381878726,184031
523,2024-03-05,180658.77093374715,184031
524,2024-03-06,185005.2625244998,184031
525,2024-03-07,161579.33181659906,184031
526,2024-03-08,165409.5531084806,184031
527,2024-03-09,166174.00475925117,184031
