Unnamed: 0,Date,Primogem Used,Total Users,Average Used,Primogem Supplied
637,2024-06-27,855066.5353757683,256384,3.3351010023081327,100.0
638,2024-06-28,751716.7948474649,256384,2.9319957362685067,120.0
639,2024-06-29,578937.44629944,256384,2.258087268704131,0.0
640,2024-06-30,653072.2013089276,256384,2.547242422728905,0.0
641,2024-07-01,2240634.070708949,256384,8.739367787026293,1100.0
642,2024-07-02,884081.8704877348,256384,3.4482723979957206,120.0
643,2024-07-03,667131.0484621116,256384,2.60207754174251,120.0
644,2024-07-04,519991.8427149847,256384,2.0281758717977123,100.0
645,2024-07-05,838299.0453013123,256384,3.2697010940671505,400.0
646,2024-07-06,547565.6075664713,256384,2.135724567704971,0.0
647,2024-07-07,433768.0197631975,256384,1.6918685244133702,0.0
648,2024-07-08,365333.519676828,256384,1.424946641275696,0.0
649,2024-07-09,355247.24400481326,256384,1.3856061376872708,0.0
650,2024-07-10,317780.5656863706,256384,1.2394711280203545,20.0
651,2024-07-11,313029.829233623,256384,1.2209413584062305,0.0
652,2024-07-12,329809.89571166,256384,1.2863903196442055,0.0
653,2024-07-13,322102.1323669143,256384,1.2563269641120909,0.0
654,2024-07-14,317246.0685341753,256384,1.23738637564815,0.0
655,2024-07-15,352582.6184960749,256384,1.3752130339493687,0.0
656,2024-07-16,288238.59367444704,256384,1.1242456380836832,940.0
657,2024-07-17,37616.0231109678,256384,0.14671751400620864,20.0
658,2024-07-18,2087934.311075596,222323,9.391445379360642,0.0
659,2024-07-19,926689.3883602868,222323,4.168211963495845,300.0
660,2024-07-20,584059.5754312936,222323,2.627076710152767,0.0
661,2024-07-21,536476.5173719922,222323,2.4130500099944325,240.0
662,2024-07-22,394367.4994803617,222323,1.7738493070009027,0.0
663,2024-07-23,374342.3888667346,222323,1.6837771569596245,160.0
664,2024-07-24,325823.93614522874,222323,1.46554308886273,0.0
665,2024-07-25,288501.83106479835,222323,1.297669746561527,0.0
666,2024-07-26,313165.59077718743,222323,1.4086063555151174,0.0
667,2024-07-27,276703.65134970983,222323,1.2446020040648509,0.0
668,2024-07-28,259189.48634676496,222323,1.1658239873821645,0.0
669,2024-07-29,238343.95370771424,222323,1.0720616117437882,460.0
670,2024-07-30,237655.53730229815,222323,1.0689651421683684,60.0
671,2024-07-31,273258.7304920919,222323,1.2291068872410498,0.0
672,2024-08-01,724737.8227318741,222323,3.2598418640081057,60.0
673,2024-08-02,350362.7873139548,222323,1.5759178641613993,60.0
674,2024-08-03,311734.8201861372,222323,1.4021708063769256,80.0
675,2024-08-04,299632.8856035043,222323,1.347736786583054,60.0
